name,smiles,logS,mw_ref
adenine,Nc1ncnc2nc[nH]c12,-2.12,135.13
"2,2',3,4,5-PCB",Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl,-7.21,326.437
Ancymidol,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3,-2.596,256.30499999999995
Benzo(b)fluoranthene,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23,252.31599999999997
Carbanilide,O=C(Nc1ccccc1)Nc2ccccc2,-3.15,212.25199999999998
phenobarbital,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2,-2.322,232.239
"2',3,4-PCB",Clc1ccc(cc1)c2cccc(Cl)c2Cl,-6.29,257.547
Isoproturon,CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536,206.289
Azintamide,CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716,259.762
"2,2-Dimethyl-1-butanol",CCC(C)(C)CO,-1.04,102.17699999999998
Ethyl pentanoate,CCCOC(=O)CCC,-1.75,130.18699999999998
"2,4,6-Trinitrotoluene",Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-3.22,227.13199999999998
Bensulide,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2,397.52400000000006
Cycloheptane,C1CCCCCC1,-3.51,98.18900000000001
Propyl formate,CCCOC=O,-0.49,88.10599999999998
2-Isopropyltoluene,CC(C)c1ccccc1C,-3.76,134.22199999999995
m-Chloroaniline,Nc1cccc(Cl)c1,-1.37,127.574
"2,4-Dimethylpentane",CC(C)CC(C)C,-4.26,100.20499999999998
Dibenzofurane,o1c2ccccc2c3ccccc13,-4.6,168.195
ethofumesate,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42,286.34900000000005
Fluometuron,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.43,232.20499999999996
Acridine,c3ccc2nc1ccccc1cc2c3,-3.67,179.22199999999998
Cortisone,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.11,360.45000000000016
glucose,OCC1OC(O)C(O)C(O)C1O,0.74,180.156
3-Methylphenol,Cc1cccc(O)c1,-0.68,108.13999999999999
Indapamide,CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O,-3.5860000000000003,365.84200000000004
Lovastatin,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,-6.005,404.54700000000025
"1,4-Dinitrobenzene",O=N(=O)c1ccc(cc1)N(=O)=O,-3.39,168.10799999999995
Reposal,CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696,262.30899999999997
Ethyl decanoate,CCCCCCCCCC(=O)OCC,-4.1,200.32199999999997
Fenuron,CN(C)C(=O)Nc1ccccc1,-1.6,164.208
Ethyl propyl ether,CCCOCC,-0.66,88.14999999999999
2-Propanol,CC(C)O,0.43,60.096000000000004
2-Methylnapthalene,Cc1ccc2ccccc2c1,-3.77,142.201
Chlorodibromethane,ClC(Br)Br,-1.9,208.28
Hexestrol,CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.43,270.372
Malathion,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37,330.3640000000001
Benzylchloride,ClCc1ccccc1,-2.39,126.58599999999996
t-Crotonaldehyde,C/C=C/C=O,0.32,70.09100000000001
Chlorbromuron,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924,293.548
"9,10-Dimethylanthracene",Cc1c2ccccc2c(C)c3ccccc13,-6.57,206.28799999999998
Methyl hexanoate,CCCCCC(=O)OC,-1.87,130.18699999999998
Dimefuron,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328,338.79500000000013
p-Fluoroacetanilide,CC(=O)Nc1ccc(F)cc1,-1.78,153.156
alachlor,CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26,269.77199999999993
Cyclohexene,C1CCC=CC1,-2.59,82.146
Hydrocortisone,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.09,362.4660000000002
Pyrimidine,c1cncnc1,1.1,80.08999999999999
p-Chloronitrobenzene,Clc1ccc(cc1)N(=O)=O,-2.92,157.55599999999998
Methyl propionate,CCC(=O)OC,-0.14,88.106
o-Chloronitrobenzene,Clc1ccccc1N(=O)=O,-2.55,157.55599999999998
Neburon,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77,275.179
Buthidazole,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.8769999999999998,256.33099999999996
Nitrobenzene,O=N(=O)c1ccccc1,-1.8,123.11099999999996
Iodobenzene,Ic1ccccc1,-3.01,204.01000000000002
Metolazone,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O,-3.78,365.8420000000001
Methocarbamol,COc1ccccc1OCC(O)COC(N)=O,-0.985,241.24299999999994
butachlor,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,-4.19,311.85300000000007
"2,3-Dichlorophenol",Oc1cccc(Cl)c1Cl,-1.3,163.003
Propyl butyrate,CCCC(=O)OC,-1.92,102.13299999999998
Propanil,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0,218.08299999999997
Triamterene,Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,-2.404,253.26900000000003
Ethyl hexanoate,CCCCCC(=O)OCC,-2.35,144.21399999999997
chloralose,OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl,-1.84,309.529
Amitraz,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47,293.41400000000004
Prometon,COc1nc(NC(C)C)nc(NC(C)C)n1,-2.478,225.296
1-Octene,CCCCCCC=C,-4.44,112.216
p-Methylaniline,Cc1ccc(N)cc1,-1.21,107.156
aminothiazole,Nc1nccs1,-0.36,100.14599999999999
Metolcarb,c1ccccc1(OC(=O)NC),-1.8030000000000002,151.165
3-Hexanol,CCCC(O)CC,-0.8,102.17699999999999
9-anthrol,c3ccc2c(O)c1ccccc1cc2c3,-4.73,194.23299999999998
2-Methylanthracene,Cc1ccc2cc3ccccc3cc2c1,-6.96,192.261
"1,2,3-Trimethylbenzene",Cc1cccc(C)c1C,-3.2,120.195
Aminocarb,CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36,208.26099999999997
2-Nonanol,CCCCCCCC(C)O,-2.74,144.258
Methyldymron,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,-3.35,268.36
3-Hexanone,CCCC(=O)CC,-0.83,100.16099999999999
bromoxynil,Oc1c(Br)cc(C#N)cc1Br,-3.33,276.91499999999996
"3,4-PCB",Clc1ccc(cc1Cl)c2ccccc2,-6.39,223.102
Mefenacet,CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,-4.873,298.367
5-hydroxyquinoline,Oc1cccc2ncccc12,-2.54,145.161
Carboxin,CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.14,235.30800000000002
Ethoxyzolamide,CCOc2ccc1nc(sc1c2)S(N)(=O)=O,-3.81,258.324
Pentachlorophenol,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28,266.33799999999997
Bromochloromethane,ClCBr,-0.89,129.384
metharbital,CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.23,198.22199999999998
deoxycorticosterone acetate,CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,-4.63,372.5050000000002
benzylurea,NC(=O)NCc1ccccc1,-0.95,150.18099999999998
Chlortoluron,CN(C)C(=O)Nc1ccc(C)c(Cl)c1,-3.483,212.67999999999998
Linuron,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592,249.09699999999998
Cycloheptanol,OC1CCCCCC1,-0.88,114.188
Thiamphenicol,CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl,-2.154,356.2270000000001
thiopental,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36,242.34400000000002
acetazolamide,CC(=O)Nc1nnc(s1)S(N)(=O)=O,-2.36,222.251
p-Nitrophenol,Oc1ccc(cc1)N(=O)=O,-0.74,139.10999999999999
Aldrin,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-6.307,364.914
Tetrahydrofurane,C1CCOC1,0.49,72.107
o-Nitroaniline,Nc1ccccc1N(=O)=O,-1.96,138.126
"2,2',3,3'-PCB",Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,-7.28,291.99199999999996
phenylbutazone,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-3.81,308.38100000000003
"2,6-Dinitrotoluene",Cc1c(cccc1N(=O)=O)N(=O)=O,-3.0,182.135
Progesterone,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42,314.46900000000005
Chlorazine,CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.4110000000000005,257.76899999999995
captafol,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O,-5.4,349.06600000000014
"1,2,4-tribromobenzene",c1(Br)c(Br)cc(Br)cc1,-4.5,314.802
Oxazepam,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O,-3.952,286.718
Secobarbital,O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,-2.356,238.28699999999995
Carvacrol,c1(O)c(C)ccc(C(C)C)c1,-2.08,150.22099999999998
rhodanine,C1SC(=S)NC1(=O),-1.77,133.197
Morin,Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O,-3.083,302.23800000000006
Kepone,ClC1(C(=O)C2(Cl)C3(Cl)C14Cl)C5(Cl)C2(Cl)C3(Cl)C(Cl)(Cl)C45Cl,-5.2589999999999995,490.6390000000001
Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86,296.5520000000001
Cyclohexane,C1CCCCC1,-3.1,84.162
Dienochlor,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278,474.64
chlordimeform,CN(C)C=Nc1ccc(Cl)cc1C,-2.86,196.68099999999998
Equilenin,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24,266.34
1-Octanol,CCCCCCCCO,-2.39,130.23100000000002
Diethyl sulfide,CCSCC,-1.34,90.191
"1,2-Dichloroethane",ClCCCl,-1.06,98.96000000000001
2-Chloro-2-methylbutane,CCC(C)(C)Cl,-2.51,106.59599999999999
1-Chloro-2-bromoethane,ClCCBr,-1.32,143.411
p-Nitroaniline,Nc1ccc(cc1)N(=O)=O,-2.37,138.126
Lactose,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,-0.244,342.297
RTI 2,CCN2c1ncccc1N(CC)C(=O)c3cccnc23,-2.86,268.32
Chlorobenzene,Clc1ccccc1,-2.38,112.55899999999997
1-Nonene,CCCCCCCC=C,-5.05,126.243
p-Bromoiodobenzene,Brc1ccc(I)cc1,-4.56,282.90599999999995
3-Methyl-3-pentanol,CCC(C)(O)CC,-0.36,102.17699999999998
Pentylbenzene,CCCCCc1ccccc1,-4.64,148.249
allantoin,NC(=O)NC1NC(=O)NC1=O,-1.6,158.117
Glafenine,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,-4.571000000000001,372.80800000000016
DDD,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-7.2,320.04600000000005
testosterone acetate,CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C,-5.184,330.4680000000001
1-Chloronapthalene,Clc1cccc2ccccc12,-3.93,162.61899999999997
RTI 19,CCN2c1ccccc1N(C)C(=O)c3ccccc23,-4.749,252.31699999999995
2-Hexanol,CCCCC(C)O,-0.89,102.17699999999998
Propylcyclopentane,CCCC1CCCC1,-4.74,112.21600000000001
Etomidate,CCOC(=O)c1cncn1C(C)c2ccccc2,-4.735,244.294
"3,4-Dichlorophenol",Oc1ccc(Cl)c(Cl)c1,-1.25,163.00300000000001
Cypermethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.017000000000001,416.30400000000014
Benzoxazole,c2ccc1ocnc1c2,-1.16,119.12299999999998
1-Pentanol,CCCCCO,-0.6,88.14999999999999
"N,N-Diethylaniline",CCN(CC)c1ccccc1,-3.03,149.237
"1,3-Difluorobenzene",Fc1cccc(F)c1,-2.0,114.094
3-chloropropionitrile,ClCCC#N,-0.29,89.525
t-Pentylbenzene,CC(C)(C)Cc1ccccc1,-4.15,148.249
5-Ethyl-5-phenylbarbital,O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,-2.322,232.239
o-Chloroiodobenzene,Clc1ccccc1I,-3.54,238.45499999999998
Benzotriazole,c2ccc1[nH]nnc1c2,-0.78,119.127
Carbofuran,CNC(=O)Oc1cccc2CC(C)(C)Oc12,-2.8,221.25599999999994
"2,6-Dimethylphenol",Cc1cccc(C)c1O,-1.29,122.16699999999999
3-Methyl-2-butanol,CC(C)C(C)O,-0.18,88.14999999999999
benzhydrol,c1ccccc1C(O)c2ccccc2,-2.55,184.238
Methyl decanoate,CCCCCCCCCC(=O)OC,-4.69,186.295
Dicapthon,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,-4.31,297.656
1-Bromo-2-methylpropane,CC(C)CBr,-2.43,137.01999999999998
Iodoethane,CCI,-1.6,155.966
Pirimicarb,CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C,-1.95,238.29099999999997
1-Bromohexane,CCCCCCBr,-3.81,165.074
2-Methylpentane,CCCC(C)C,-3.74,86.178
Tetrafluthrin,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,-7.321000000000001,418.7360000000001
Metolachlor,CCc1cccc(C)c1N(C(C)COC)C(=O)CCl,-2.73,283.7989999999999
nifuroxime,ON=Cc1ccc(o1)N(=O)=O,-2.19,156.09699999999998
Fluvalinate,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.003,502.9200000000002
Amitrole,Nc1nc[nH]n1,0.522,84.082
Tribromomethane,BrC(Br)Br,-1.91,252.731
Trichlorfon,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22,257.437
Phosalone,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12,-5.233,367.8160000000001
Phenylmethanol,OCc1ccccc1,-0.4,108.13999999999997
Coumatetralyl,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2,-2.84,292.33400000000006
4-Bromophenol,Oc1ccc(Br)cc1,-1.09,173.00900000000001
2-Bromopropane,CC(C)Br,-1.59,122.993
"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,-4.74,114.23199999999999
"1,3,5-Trinitrobenzene",O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-2.89,213.10499999999996
Nimetazepam,CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O,-3.7960000000000003,295.29800000000006
Propane,CCC,-1.94,44.096999999999994
Minoxidil,Nc1cc(nc(N)n1=O)N2CCCCC2,-1.989,209.25299999999996
1-aminoacridine,Nc2cccc3nc1ccccc1cc23,-4.22,194.23700000000002
Benzo(k)fluoranthene,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,-8.49,252.31599999999997
Dicofol,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-5.666,370.49
Acenapthene,C1Cc2cccc3cccc1c23,-4.63,154.21199999999996
Dialifos,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,-6.34,393.85400000000016
"1,4-Dibromobenzene",Brc1ccc(Br)cc1,-4.07,235.90599999999998
Methazole,Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,-2.82,261.064
p-Phenylphenol,Oc1ccc(cc1)c2ccccc2,-3.48,170.211
pyracarbolid,CC1=C(CCCO1)C(=O)Nc2ccccc2,-2.56,217.26800000000003
Ethyl vinyl ether,CCOC=C,-0.85,72.10700000000001
1-Butyne,CCC#C,-1.24,54.09199999999999
4-methoxypteridine,COc1ncnc2nccnc12,-1.11,162.15200000000002
3-Methyl-3-heptanol,CCCCC(C)(O)CC,-1.6,130.23099999999997
"1,4-Dichlorobenzene",Clc1ccc(Cl)cc1,-3.27,147.00400000000002
3-Ethanoyloxymethylphenytoin,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.47,324.33600000000007
"Sparsomycin (3,8mg/ml)",CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.9809999999999999,361.4450000000001
3-methylindole,Cc1c[nH]c2ccccc12,-2.42,131.17799999999997
2-methoxypteridine,COc2ncc1nccnc1n2,-1.11,162.152
Dioxacarb,CNC(=O)Oc1ccccc1C2OCCO2,-1.57,223.22799999999995
isocarbamid,C1N(C(=O)NCC(C)C)C(=O)NC1,-2.15,185.22699999999998
Acetonitrile,CC#N,0.26,41.053
Fenoxycarb,CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,-4.7,301.34200000000004
acetyl sulfisoxazole,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C,-3.59,293.34800000000007
"1,1,1,2-Tetrachloroethane",ClCC(Cl)(Cl)Cl,-2.18,167.85
1-Butanol,CCCCO,0.0,74.12299999999999
Siduron,CC1CCCCC1NC(=O)Nc2ccccc2,-4.11,232.32700000000003
"1,3,5-Trichlorobenzene",Clc1cc(Cl)cc(Cl)c1,-4.48,181.449
Furfural,O=Cc1ccco1,-0.1,96.08499999999998
3-Methylbutan-1-ol,CC(C)CCO,-0.51,88.14999999999999
piperonal,O=Cc2ccc1OCOc1c2,-1.63,150.13299999999998
2-Methylpropene,CC(=C)C,-2.33,56.108000000000004
Benzaldehyde,O=Cc1ccccc1,-1.19,106.12399999999997
"2,3-Dimethyl-1,3-Butadiene",CC(=C)C(=C)C,-2.4,82.146
Benfuracarb,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,-4.71,410.53600000000023
RTI 10,O2c1ccccc1N(C)C(=O)c3cccnc23,-3.6719999999999997,226.235
Fluorene,C1c2ccccc2c3ccccc13,-5.0,166.22299999999998
Methylcyclohexane,CC1CCCCC1,-3.85,98.18900000000001
sulfaguanidine,NC(=N)NS(=O)(=O)c1ccc(N)cc1,-1.99,214.25
Methylparaben,COC(=O)c1ccc(O)cc1,-1.827,152.149
2-Methyltetrahydrofurane,CC1CCCO1,0.11,86.134
Santonin,CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,-3.09,246.30599999999995
Salicin,OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,-0.85,286.28
1-Iodopropane,CCCI,-2.29,169.993
Ametryn,CCNc1nc(NC(C)C)nc(SC)n1,-3.04,227.337
1-Propanol,CCCO,0.62,60.096
Hydroxyprogesterone-17a,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.8169999999999997,330.4680000000001
2-Pentanol,CCCC(C)O,-0.29,88.14999999999999
benzoin,OC(C(=O)c1ccccc1)c2ccccc2,-2.85,212.248
"2,4-Dimethylphenol",Cc1ccc(O)c(C)c1,-1.19,122.16699999999999
m-Chloronitrobenzene,Clc1cccc(c1)N(=O)=O,-2.77,157.55599999999998
ampyrone,Cc2c(N)c(=O)n(c1ccccc1)n2C,-0.624,203.245
"2,2',4,5'-PCB",Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl,-6.57,291.99199999999996
"Hexachloro-1,3-butadiene",ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,-4.92,260.762
Terbutryn,CCNc1nc(NC(C)(C)C)nc(SC)n1,-4.0,241.364
3-Methyl-2-pentanol,CCC(C)CCO,-0.71,102.17699999999999
2-methylpteridine,Cc2ncc1nccnc1n2,-0.12,146.153
Danazol,CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,-5.507000000000001,337.4630000000001
1-Iodobutane,CCCCI,-2.96,184.01999999999998
2-Bromonapthalene,Brc1ccc2ccccc2c1,-4.4,207.07
"Digoxin (L1=41,8mg/mL, L2=68,2mg/mL, Z=40,1mg/mL)",CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,-4.081,780.9490000000001
Benzyltrifluoride,FC(F)(F)c1ccccc1,-2.51,146.111
Dihexyl phthalate,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144,334.45600000000024
Dibenzothiophene,c1ccc2c(c1)sc3ccccc23,-4.38,184.263
"2,3',4,4'-PCB",Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl,-7.8,326.437
"2,2',3,3',4,4'-PCB",Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl,-8.01,360.88200000000006
Warfarin,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O,-3.8930000000000002,308.3330000000001
hydrobenzoin,c1ccccc1C(O)C(O)c2ccccc2,-1.93,214.264
Dimethyl phthalate,COC(=O)c1ccccc1C(=O)OC,-1.66,194.18599999999995
Ethyl octanoate,CCCCCCCC(=O)OCC,-3.39,172.26799999999997
Diethyldisulfide,CCSSCC,-2.42,122.258
"1,2-Diethoxyethane",CCOCCOCC,-0.77,118.176
"1,2,4,5-Tetrachlorobenzene",Clc1cc(Cl)c(Cl)cc1Cl,-5.56,215.894
p-benzidine,Nc1ccc(cc1)c2ccc(N)cc2,-2.7,184.242
1-Heptene,CCCCCC=C,-3.73,98.189
Ethirimol,CCCCc1c(C)nc(NCC)[nH]c1=O,-3.028,209.29299999999998
Pentobarbital,O=C1NC(=O)NC(=O)C1(CC)C(C)CCC,-2.39,226.27599999999995
o-Chloroaniline,Nc1ccccc1Cl,-1.52,127.574
3-Chloroanisole,COc1cccc(Cl)c1,-2.78,142.58499999999998
Pebulate,CCCCN(CC)C(=O)SCCC,-3.53,203.35099999999997
Butyl acetate,CCCCOC=O,-1.37,102.13299999999998
Prednisolone,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,-3.18,360.4500000000002
Bromodichloromethane,BrC(Cl)Cl,-1.54,163.82899999999998
adrenosterone,CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O),-3.48,300.3980000000001
p-terphenyl,c1ccc(cc1)c2ccc(cc2)c3ccccc3,-7.11,230.31
p-Hydroxybenzaldehyde,Oc1ccc(C=O)cc1,-0.96,122.12299999999998
Bromomethane,CBr,-0.79,94.939
Perfluidone,Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,-3.8,379.38100000000003
Coumachlor,CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,-5.8389999999999995,342.7780000000001
2-Ethylnaphthalene,CCc1ccc2ccccc2c1,-4.29,156.22799999999998
5-methylcytosine,Nc1c(C)c[nH]c(=O)n1,-1.4580000000000002,125.13099999999999
"2,3,4,5,6-PCB",Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl,-7.92,326.437
benodanil,c1c(NC(=O)c2ccccc2(I))cccc1,-4.21,323.133
Riboflavin,Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,-3.685,376.36900000000014
o-Fluorobromobenzene,Fc1ccccc1Br,-2.7,175.0
"2,4-Dichlorophenol",Oc1ccc(Cl)cc1Cl,-1.55,163.003
Permethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,-6.291,391.2940000000001
piroxicam,CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3,-4.16,331.353
3-Propanoyloxymethylphenytoin,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907,338.36300000000006
Cyclopentane,C1CCCC1,-2.64,70.135
o-Toluidine,Cc1ccccc1N,-2.21,107.156
Estragole,c1(OC)ccc(CC=C)cc1,-2.92,148.205
karbutilate,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1,-2.93,279.34
3-Methyl-1-Butene,CC(C)C=C,-2.73,70.135
2-Hydroxypyridine,Oc1ccccn1,1.02,95.101
Ethane,CC,-1.36,30.07
"1,2-Dichlorobenzene",Clc1ccccc1Cl,-3.05,147.00399999999996
mercaptobenzothiazole,Sc2nc1ccccc1s2,-3.18,167.25799999999998
"2,2',3,3',4,4',5,5',6,6'-PCB",Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-11.6,498.66200000000026
Methoxsalen,COc2c1occc1cc3ccc(=O)oc23,-3.6639999999999997,216.19199999999995
Acetamide,CC(=O)N,1.58,59.068
1-Methylnaphthalene,Cc1cccc2ccccc12,-3.7,142.201
Napropamide,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,-3.57,271.36
"3,3-Dimethyl-2-butanol",CC(O)C(C)(C)C,-0.62,102.17699999999999
Methyl pentanoate,CCCC(=O)OCC,-1.36,116.15999999999998
Menadione,CC2=CC(=O)c1ccccc1C2=O,-3.03,172.18299999999996
Phenanthrene,c1ccc2c(c1)ccc3ccccc32,-5.26,178.23399999999998
"2,4-Dimethylpyridine",Cc1ccnc(C)c1,0.38,107.15599999999999
1-Nonanol,CCCCCCCCCO,-3.01,144.258
Dibromomethane,BrCBr,-1.17,173.83499999999998
Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59,392.4670000000002
"2,6-Dimethylnaphthalene",Cc1ccc2cc(C)ccc2c1,-4.89,156.228
Butylate,CCSC(=O)N(CC(C)C)CC(C)C,-3.68,217.378
nitroglycerin,O=N(=O)OCC(CON(=O)=O)ON(=O)=O,-2.22,227.08499999999998
m-Nitroaniline,Nc1cccc(c1)N(=O)=O,-2.19,138.126
1-Chlorobutane,CCCCCl,-2.03,92.56899999999999
triforine,ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl,-4.19,430.9340000000001
Fluridone,Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,-4.445,329.32099999999997
6-aminochrysene,Nc3cc2c1ccccc1ccc2c4ccccc34,-6.2,243.309
Estrone,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,-3.955,270.372
RTI 17,CCN2c1ccccc1N(C)C(=S)c3cccnc23,-4.706,269.373
"1,2-Propylene oxide",CC1CO1,-0.59,58.08
Nitrazepam,O=C3CN=C(c1ccccc1)c2cc(ccc2N3)N(=O)=O,-3.7960000000000003,281.271
"1,3-diethylthiourea",CCNC(=S)NCC,-1.46,132.232
"2,3,5-Trichlorophenol",Oc1cc(Cl)cc(Cl)c1Cl,-2.67,197.44799999999998
Propyl propanoate,CCCCC(=O)OC,-1.34,116.15999999999998
Aniline,Nc1ccccc1,-0.41,93.12899999999999
"1,5-Dimethlnapthalene",Cc1cccc2c(C)cccc12,-4.678999999999999,156.228
